Calling: download_display_sitemap [2021-05-10 13:00:24.424540  2021-05-10 13:00:24.594706] Args: (1, 'https://www.foxnews.com/sitemap.xml?type=news', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-05-10 13:01:18.726869  2021-05-10 13:01:19.327550] Args: (2, 'https://video.foxnews.com/videositemap.xml', []) Kwargs: {}
Calling: download_display_sitemap [2021-05-10 13:01:48.376871  2021-05-10 13:01:48.478090] Args: (1, 'https://video.foxnews.com/videositemap.xml', []) Kwargs: {}
Calling: download_display_sitemap [2021-05-10 13:03:04.170089  2021-05-10 13:03:07.091164] Args: (2, 'https://video.foxnews.com/videositemap.xml?idx=3', []) Kwargs: {}
Calling: download_display_sitemap [2021-05-10 15:11:05.961278  2021-05-10 15:11:07.405241] Args: (1, 'https://www.nytimes.com/sitemaps/new/news.xml.gz', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-05-10 15:11:36.252906  2021-05-10 15:11:43.054077] Args: (3, 'https://thenextweb.com/sitemap-articles-index.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-05-10 15:15:40.621733  2021-05-10 15:15:46.912773] Args: (1, 'https://thenextweb.com/sitemap-articles-index.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-05-10 15:17:15.098363  2021-05-10 15:17:15.604525] Args: (4, 'https://www.vintagecashcow.co.uk/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-05-10 15:20:06.253060  2021-05-10 15:20:06.638452] Args: (1, 'https://www.vintagecashcow.co.uk/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-05-10 15:33:40.386783  2021-05-10 15:33:41.563559] Args: (1, 'https://www.holisticseo.digital/sitemap_index.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-05-10 16:19:46.357553  2021-05-10 16:19:50.229826] Args: (1, 'http://static.500px.net/sitemaps/tags_sitemap_2.xml.gz', []) Kwargs: {}
Calling: download_display_sitemap [2021-05-10 17:17:03.228164  2021-05-10 17:17:06.278290] Args: (1, 'http://static.500px.net/sitemaps/tags_sitemap_2.xml.gz', [True]) Kwargs: {}
